match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11702242,Fernandez B.,fernandez-bruno,M,144,,Florianópolis,1.85,,,,2132,3401,393631,1343,FER,Brazil,"Fernandez, Bruno"
11702248,Lincer O.,lincer-olivia,F,385,,USA,1.75,,right-handed,,9513,17276,383821,673,LIN,Poland,"Lincer, Olivia"
11703236,Safta A.,safta-anastasia,F,139,,,,,,,7307,9818,400491,938,SAF,Romania,"Safta, Anastasia"
11703331,Genov A.,genov-anthony,M,104,,,,,,,1193,7158,332112,1444,GEN,Bulgaria,"Genov, Anthony"
11703442,Tessa L.,tessa-louis,M,131,"Cavalaire Sur Mer, France","Lyon, France",1.8,68,right-handed,,4038,35166,145118,951,TES,France,"Tessa, Louis"
11703443,Salazar D.,salazar-daniel,M,31,,,,,,,1696,3967,196958,1338,SAL,Colombia,"Salazar, Daniel"
11703445,Maute J.,maute-jannik,M,76,,,,,,,1680,5213,399574,1191,MAU,Germany,"Maute, Jannik"
11703470,Grey S.,grey-sarah-beth,F,301,,,,,,,17705,162175,91916,432,GRE,United Kingdom,"Grey, Sarah Beth"
11703524,Panaras A.,panaras-adam,M,53,,,,,,,1148,1585,413166,1408,PAN,France,"Panaras, Adam"
11703525,Milushev P.,milushev-plamen,M,41,,,,,,,,6299,98951,1478,MIL,Bulgaria,"Milushev, Plamen"
